City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Saldanha,ZA,-33.0117,17.9442,48.25,62,71,6.2,broken clouds
309,Ampanihy,MG,-24.7,44.75,66.6,85,68,4.85,broken clouds
310,Tezu,IN,27.9167,96.1667,76.33,77,94,1.66,overcast clouds
311,Fare,PF,-16.7,-151.0167,81.14,72,44,9.26,scattered clouds
312,Luzhou,CN,28.8724,105.4405,67.32,77,99,4.14,overcast clouds
313,Seoul,KR,37.5683,126.9778,64.81,79,75,5.59,broken clouds
314,Haapiti,PF,-17.5667,-149.8667,82.13,78,40,15.26,light rain
315,San Cristobal,VE,7.7669,-72.225,73.58,95,83,3.13,broken clouds
316,Ha Giang,VN,22.8333,104.9833,73.2,96,100,3.38,moderate rain
317,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,17.45,light rain
318,Moron,AR,-34.6534,-58.6198,62.98,79,70,4.0,broken clouds
319,Najran,SA,17.4924,44.1277,77.65,17,61,3.83,broken clouds
320,Machali,CL,-34.1833,-70.6667,60.06,60,100,1.68,overcast clouds
321,Road Town,VG,18.4167,-64.6167,82.44,78,40,14.97,scattered clouds
322,Tarko-Sale,RU,64.9225,77.785,42.01,71,22,10.33,few clouds
323,Camalu,MX,30.85,-116.0667,68.56,64,1,6.08,clear sky
324,Port-Gentil,GA,-0.7193,8.7815,78.76,89,40,11.5,scattered clouds
325,Raisen,IN,23.3333,77.8,86.38,43,94,7.49,overcast clouds
326,Sao Filipe,CV,14.8961,-24.4956,74.53,75,9,8.93,clear sky
327,Videira,BR,-27.0083,-51.1517,56.55,98,0,1.99,clear sky
328,Nioro,GM,13.35,-15.75,80.85,53,74,6.58,broken clouds
329,Ponta Do Sol,PT,32.6667,-17.1,65.03,53,45,7.49,scattered clouds
330,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.46,84,10,6.46,clear sky
331,Douglas,US,41.3,-96.167,88.83,25,1,9.22,clear sky
332,Acapulco,MX,16.8634,-99.8901,86.09,60,53,7.0,broken clouds
333,Dondo,MZ,-19.6094,34.7431,59.95,68,0,7.4,clear sky
334,Veraval,IN,20.9,70.3667,82.42,82,51,8.68,broken clouds
335,Vanavara,RU,60.34,102.2797,59.27,75,93,7.07,overcast clouds
336,Shimoda,JP,34.6667,138.95,70.16,96,100,19.42,overcast clouds
337,Humaita,BR,-7.5061,-63.0208,76.68,59,8,1.61,clear sky
338,Zavetnoye,RU,47.1194,43.8903,55.2,91,19,12.88,light rain
339,Newport,GB,51.5877,-2.9984,53.38,85,69,5.7,broken clouds
